index,P,Q,VaR,VaI,VbR,VbI,VcR,VcI
107,45781.51,0.38,213.12,-2.41,-108.75,-190.02,-109.36,185.81
108,45780.93,0.37,213.12,-2.41,-108.75,-190.02,-109.36,185.81
109,45780.31,0.36,213.13,-2.41,-108.75,-190.02,-109.36,185.81
110,45779.63,0.35,213.13,-2.41,-108.75,-190.02,-109.36,185.81
111,45778.91,0.34,213.13,-2.41,-108.75,-190.02,-109.36,185.81
112,45778.14,0.33,213.13,-2.41,-108.75,-190.02,-109.36,185.81
113,45777.32,0.33,213.13,-2.41,-108.75,-190.02,-109.36,185.81
114,45776.46,0.32,213.13,-2.41,-108.75,-190.02,-109.37,185.81
115,45775.56,0.32,213.13,-2.41,-108.75,-190.02,-109.37,185.81
116,45774.61,0.31,213.13,-2.41,-108.75,-190.02,-109.37,185.81
117,45773.63,0.31,213.13,-2.41,-108.75,-190.02,-109.37,185.81
118,45772.6,0.3,213.13,-2.41,-108.75,-190.02,-109.37,185.81
119,45771.54,0.3,213.13,-2.41,-108.75,-190.02,-109.37,185.81
120,43484.56,67.21,202.18,-2.04,-102.96,-180.69,-104.21,176.12
121,43486.94,-2.31,201.96,-2.41,-103.2,-180.4,-103.8,176.17
122,43523.75,-0.99,201.95,-2.4,-103.19,-180.39,-103.8,176.16
123,43564.75,0.13,201.95,-2.4,-103.19,-180.39,-103.81,176.16
124,43606.56,1.36,201.96,-2.39,-103.18,-180.4,-103.82,176.16
125,43649.1,2.55,201.96,-2.38,-103.18,-180.4,-103.82,176.16
126,43692.3,3.72,201.96,-2.38,-103.17,-180.41,-103.83,176.16
127,43736.12,4.85,201.97,-2.37,-103.17,-180.42,-103.84,176.16
128,43780.52,5.96,201.97,-2.36,-103.17,-180.42,-103.85,176.16
129,43825.45,5.49,201.98,-2.35,-103.16,-180.43,-103.86,176.16
130,43870.89,8.1,201.98,-2.35,-103.16,-180.43,-103.87,176.15
131,43916.77,9.12,201.99,-2.34,-103.15,-180.44,-103.87,176.15
132,43963.07,10.12,202.0,-2.33,-103.15,-180.45,-103.88,176.15
133,44009.73,11.08,202.0,-2.32,-103.14,-180.45,-103.89,176.15
134,44056.73,12.02,202.01,-2.32,-103.14,-180.46,-103.9,176.15
135,44104.02,12.99,202.01,-2.31,-103.13,-180.47,-103.91,176.15
136,44151.57,13.82,202.02,-2.3,-103.13,-180.47,-103.92,176.15
137,44199.33,14.67,202.02,-2.29,-103.12,-180.48,-103.93,176.15
138,44247.27,15.5,202.03,-2.29,-103.12,-180.49,-103.94,176.15
139,44295.35,16.3,202.03,-2.28,-103.11,-180.49,-103.95,176.15
